month_jalali,series,geography,raw_value,raw_unit,source_id,evidence,quality,transaction_count,price_per_m2_toman,source_url,retrieved_on
140106,cbi_transaction_mean,Tehran,432169.0,dlearn_post_140105,dlearn,"1401,6,-1,432169,6033",scale_inferred_crosschecked,6033.0,43216900.0,https://d-learn.ir/wp-content/uploads/2023/01/cbi_houseprice_tehran.csv,2026-09-12
140107,cbi_transaction_mean,Tehran,437249.0,dlearn_post_140105,dlearn,"1401,7,-1,437249,5416",scale_inferred_crosschecked,5416.0,43724900.0,https://d-learn.ir/wp-content/uploads/2023/01/cbi_houseprice_tehran.csv,2026-09-12
140108,cbi_transaction_mean,Tehran,467048.0,dlearn_post_140105,dlearn,"1401,8,-1,467048,8005",scale_inferred_crosschecked,8005.0,46704800.0,https://d-learn.ir/wp-content/uploads/2023/01/cbi_houseprice_tehran.csv,2026-09-12
140109,cbi_transaction_mean,Tehran,480737.0,dlearn_post_140105,dlearn,"1401,9,-1,480737,10184",scale_inferred_crosschecked,10184.0,48073700.0,https://d-learn.ir/wp-content/uploads/2023/01/cbi_houseprice_tehran.csv,2026-09-12
140202,cbi_transaction_mean,Tehran,753.2,million_irr,sarmayeh_02,Price row: Ordibehesht 1402=753.2; Farvardin 1403=816.3; Ordibehesht 1403=847.5 (million IRR),secondary_report,,75320000.0,https://sarmayesazan.com/blog/%D8%AA%D8%BA%DB%8C%DB%8C%D8%B1%D8%A7%D8%AA-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1-%D9%85%D8%B9%D8%A7%D9%85%D9%84%D8%A7%D8%AA-%D9%85%D8%B3%DA%A9%D9%86-%D8%B4%D9%87%D8%B1-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D8%AF/,2026-09-12
140203,cbi_transaction_mean,Tehran,783.0,million_irr,sarmayeh_03,Price row: Khordad 1402=783.0; Ordibehesht 1403=847.5; Khordad 1403=859.1 (million IRR),secondary_report,,78300000.0,https://sarmayesazan.com/blog/%D9%85%D8%B9%D8%A7%D9%85%D9%84%D8%A7%D8%AA-%D9%85%D8%B3%DA%A9%D9%86-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D8%AE%D8%B1%D8%AF%D8%A7%D8%AF-1403/,2026-09-12
140204,cbi_transaction_mean,Tehran,765.4,million_irr,sarmayeh_04,Price row: Tir 1403=874.6; Khordad 1403=859.1; Tir 1402=765.4 (million IRR),secondary_report,,76540000.0,https://sarmayesazan.com/blog/%DA%AF%D8%B2%D8%A7%D8%B1%D8%B4-%D9%85%D8%B9%D8%A7%D9%85%D9%84%D8%A7%D8%AA-%D9%85%D8%B3%DA%A9%D9%86-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D8%AA%DB%8C%D8%B1-1403-%D8%AA%D8%AD%D9%84%DB%8C%D9%84-%D8%AC%D8%A7/,2026-09-12
140205,cbi_transaction_mean,Tehran,757.9,million_irr,sarmayeh_05,Price row: Mordad 1403=885.0; Tir 1403=874.6; Mordad 1402=757.9 (million IRR),secondary_report,,75790000.0,https://sarmayesazan.com/blog/%D9%85%D8%B9%D8%A7%D9%85%D9%84%D8%A7%D8%AA-%D9%85%D8%B3%DA%A9%D9%86-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D9%85%D8%B1%D8%AF%D8%A7%D8%AF-1403/,2026-09-12
140206,cbi_transaction_mean,Tehran,75330000.0,toman,tejarat_h2,از متری 75 میلیون و 330 هزار تومان به حدود متری 76 میلیون تومان رسیده,secondary_report,,75330000.0,https://tejaratnews.com/%D8%A8%D8%AE%D8%B4-%D9%85%D8%B3%DA%A9%D9%86-48/904124-%D9%82%DB%8C%D9%85%D8%AA-%D9%85%D8%B3%DA%A9%D9%86-%D8%AF%D8%B1-%D9%86%DB%8C%D9%85%D9%87-%D8%AF%D9%88%D9%85-%D8%B3%D8%A7%D9%84,2026-09-12
140207,cbi_transaction_mean,Tehran,76000000.0,toman,tejarat_h2,آغاز فصل پاییز ... حدود متری 76 میلیون تومان,rounded_secondary_report,,76000000.0,https://tejaratnews.com/%D8%A8%D8%AE%D8%B4-%D9%85%D8%B3%DA%A9%D9%86-48/904124-%D9%82%DB%8C%D9%85%D8%AA-%D9%85%D8%B3%DA%A9%D9%86-%D8%AF%D8%B1-%D9%86%DB%8C%D9%85%D9%87-%D8%AF%D9%88%D9%85-%D8%B3%D8%A7%D9%84,2026-09-12
140208,cbi_transaction_mean,Tehran,75770000.0,toman,otagh_08,آبان 1402 ... 75 میلیون و 770 هزار تومان,secondary_report,,75770000.0,https://otaghiranonline.ir/news/68538/%D8%AA%D9%88%D8%B1%D9%85-%D9%86%D9%82%D8%B7%D9%87-%D8%A8%D9%87-%D9%86%D9%82%D8%B7%D9%87-%D9%85%D8%B3%DA%A9%D9%86-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D8%A8%D9%87-62-2-%D8%AF%D8%B1%D8%B5%D8%AF-%D8%B1%D8%B3%DB%8C%D8%AF,2026-09-12
140209,cbi_transaction_mean,Tehran,740.9,million_irr,tasnim_09,متوسط قیمت ... در آذرماه 1402 به 740.9 میلیون ریال رسید,secondary_report,,74090000.0,https://www.tasnimnews.com/fa/news/1402/10/03/3011261/%DA%A9%D8%A7%D9%87%D8%B4-2-2-%D8%AF%D8%B1%D8%B5%D8%AF%DB%8C-%D9%82%DB%8C%D9%85%D8%AA-%D9%85%D8%B3%DA%A9%D9%86-%D8%AF%D8%B1-%D8%A2%D8%B0%D8%B1%D9%85%D8%A7%D9%87-%D9%85%D8%AA%D9%88%D8%B3%D8%B7-%D9%82%DB%8C%D9%85%D8%AA-%D9%85%D8%B3%DA%A9%D9%86-%D8%AF%D8%B1-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-74-%D9%85%DB%8C%D9%84%DB%8C%D9%88%D9%86-%D8%AA%D9%88%D9%85%D8%A7%D9%86-%D8%B4%D8%AF,2026-09-12
140210,cbi_transaction_mean,Tehran,75390000.0,toman,tejarat_h2,دی ... متری 75 میلیون و 390 هزار تومان,secondary_report,,75390000.0,https://tejaratnews.com/%D8%A8%D8%AE%D8%B4-%D9%85%D8%B3%DA%A9%D9%86-48/904124-%D9%82%DB%8C%D9%85%D8%AA-%D9%85%D8%B3%DA%A9%D9%86-%D8%AF%D8%B1-%D9%86%DB%8C%D9%85%D9%87-%D8%AF%D9%88%D9%85-%D8%B3%D8%A7%D9%84,2026-09-12
140212,cbi_transaction_mean,Tehran,81440000.0,toman,tejarat_h2,اسفند ... متری 81 میلیون و 440 هزار تومان,secondary_report,,81440000.0,https://tejaratnews.com/%D8%A8%D8%AE%D8%B4-%D9%85%D8%B3%DA%A9%D9%86-48/904124-%D9%82%DB%8C%D9%85%D8%AA-%D9%85%D8%B3%DA%A9%D9%86-%D8%AF%D8%B1-%D9%86%DB%8C%D9%85%D9%87-%D8%AF%D9%88%D9%85-%D8%B3%D8%A7%D9%84,2026-09-12
140301,cbi_transaction_mean,Tehran,816.3,million_irr,sarmayeh_02,Price row: Farvardin 1403=816.3 (million IRR),secondary_report,,81630000.0,https://sarmayesazan.com/blog/%D8%AA%D8%BA%DB%8C%DB%8C%D8%B1%D8%A7%D8%AA-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1-%D9%85%D8%B9%D8%A7%D9%85%D9%84%D8%A7%D8%AA-%D9%85%D8%B3%DA%A9%D9%86-%D8%B4%D9%87%D8%B1-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-%D8%AF/,2026-09-12
