series,month_jalali,geography,raw_value,raw_unit,source_id,evidence,quality,transaction_count,price_per_m2_toman,source_url,retrieved_on,status
cbi_transaction_mean,140006,Tehran,31703400.0,dlearn_pre_140105,dlearn,"1400,6,-1,31703400,7789",scale_inferred_crosschecked,7789.0,31703400.0,https://d-learn.ir/wp-content/uploads/2023/01/cbi_houseprice_tehran.csv,2026-09-12,collected
cbi_transaction_mean,140007,Tehran,31631100.0,dlearn_pre_140105,dlearn,"1400,7,-1,31631100,5471",scale_inferred_crosschecked,5471.0,31631100.0,https://d-learn.ir/wp-content/uploads/2023/01/cbi_houseprice_tehran.csv,2026-09-12,collected
cbi_transaction_mean,140008,Tehran,32009000.0,dlearn_pre_140105,dlearn,"1400,8,-1,32009000,7304",scale_inferred_crosschecked,7304.0,32009000.0,https://d-learn.ir/wp-content/uploads/2023/01/cbi_houseprice_tehran.csv,2026-09-12,collected
cbi_transaction_mean,140009,Tehran,32590800.0,dlearn_pre_140105,dlearn,"1400,9,-1,32590800,9772",scale_inferred_crosschecked,9772.0,32590800.0,https://d-learn.ir/wp-content/uploads/2023/01/cbi_houseprice_tehran.csv,2026-09-12,collected
cbi_transaction_mean,140010,Tehran,32936400.0,dlearn_pre_140105,dlearn,"1400,10,-1,32936400,9816",scale_inferred_crosschecked,9816.0,32936400.0,https://d-learn.ir/wp-content/uploads/2023/01/cbi_houseprice_tehran.csv,2026-09-12,collected
cbi_transaction_mean,140011,Tehran,33056200.0,dlearn_pre_140105,dlearn,"1400,11,-1,33056200,8532",scale_inferred_crosschecked,8532.0,33056200.0,https://d-learn.ir/wp-content/uploads/2023/01/cbi_houseprice_tehran.csv,2026-09-12,collected
cbi_transaction_mean,140012,Tehran,35120000.0,dlearn_pre_140105,dlearn,"1400,12,-1,35120000,6834",scale_inferred_crosschecked,6834.0,35120000.0,https://d-learn.ir/wp-content/uploads/2023/01/cbi_houseprice_tehran.csv,2026-09-12,collected
cbi_transaction_mean,140101,Tehran,34272700.0,dlearn_pre_140105,dlearn,"1401,1,-1,34272700,3427",scale_inferred_crosschecked,3427.0,34272700.0,https://d-learn.ir/wp-content/uploads/2023/01/cbi_houseprice_tehran.csv,2026-09-12,collected
cbi_transaction_mean,140102,Tehran,36351500.0,dlearn_pre_140105,dlearn,"1401,2,-1,36351500,10490",scale_inferred_crosschecked,10490.0,36351500.0,https://d-learn.ir/wp-content/uploads/2023/01/cbi_houseprice_tehran.csv,2026-09-12,collected
cbi_transaction_mean,140103,Tehran,39414500.0,dlearn_pre_140105,dlearn,"1401,3,-1,39414500,13874",scale_inferred_crosschecked,13874.0,39414500.0,https://d-learn.ir/wp-content/uploads/2023/01/cbi_houseprice_tehran.csv,2026-09-12,collected
