source_id,source_row,publication_date_jalali,location_raw,district_reported,area_m2,age_raw,age_years,price_per_m2_million_toman_raw,price_per_m2_toman,source_url,measure,retrieved_on
104477,38,1401-11-06,ظفر. نونهالان,,100,نوساز,,120,120000000,https://www.iranjib.ir/showprint/104477/,asking_price,2026-09-12
104477,39,1401-11-06,هروی. جوانشیر,,146,نوساز,,95,95000000,https://www.iranjib.ir/showprint/104477/,asking_price,2026-09-12
111526,1,1402-06-05,شهرک راه آهن. خیابان امیر کبیر,,138,11,11,92,92000000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,2,1402-06-05,خواجه عبدالله انصاری. خیابان نهم,,68,29,29,100,100000000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,3,1402-06-05,شهران جنوبی. مطهری,,78,نوساز,,120,120000000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,4,1402-06-05,تهرانپارس. بلوار پروین,,80,نوساز,,82,82000000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,5,1402-06-05,ستاری. زیتون,,82,19,19,75,75000000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,6,1402-06-05,جشنواره,,68,15,15,48.5,48500000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,7,1402-06-05,پونک. بلوار میرزابابایی,,66,18,18,103,103000000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,8,1402-06-05,نظام آباد. مدنی شمالی,,48,10,10,58,58000000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,9,1402-06-05,هفت تیر. بهار شمالی,,94,30,30,63.8,63800000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,10,1402-06-05,طرشت شمالی. بالاتر از بانک صادرات,,102,نوساز,,92,92000000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,11,1402-06-05,جشنواره. زهدی,,72,6,6,40.2,40200000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,12,1402-06-05,وحیدیه. نرسیده به کوچه فراهانی,,68,2,2,61.7,61700000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,13,1402-06-05,گلبرگ غربی. مدنی شمالی,,71,24,24,81.6,81600000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
111526,14,1402-06-05,جنت آباد مرکزی. شاهین شمالی,,104,نوساز,,149,149000000,https://www.iranjib.ir/showprint/111526/,asking_price,2026-09-12
