month_jalali,year_jalali,month_of_year,price_per_m2_source_units,geography,currency_status,source_url
139704,1397,4,6973000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139705,1397,5,7399900,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139706,1397,6,8095700,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139707,1397,7,8510000,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139708,1397,8,9179400,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139709,1397,9,9554700,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139710,1397,10,9797300,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139711,1397,11,9967200,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139712,1397,12,10901126,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
139801,1398,1,11269100,Tehran,not_explicit_in_source,https://github.com/amiralimadadi/Regression_TheranHousing/blob/ac6a6406f2c5507ab9a905859efc1b61cb4d17c1/TehranHousingPriceBackground.csv
