y,m,region,priceM2,count
1400,6,-1,31703400,7789
1400,7,-1,31631100,5471
1400,8,-1,32009000,7304
1400,9,-1,32590800,9772
1400,10,-1,32936400,9816
1400,11,-1,33056200,8532
1400,12,-1,35120000,6834
1401,1,-1,34272700,3427
1401,2,-1,36351500,10490
1401,3,-1,39414500,13874
1401,4,-1,41704900,10294
1401,5,-1,427299,7825
1401,6,-1,432169,6033
1401,7,-1,437249,5416
1401,8,-1,467048,8005
1401,9,-1,480737,10184
